brand,model,year_from,year_to,country,is_popular
Chrysler,"Town & Country",2008,2016,USA,0
Chrysler,Voyager,1995,2022,USA,0
Citroen,Berlingo,1996,2025,France,0
Citroen,C-Crosser,2007,2012,France,0
Citroen,C-Elysee,2012,2020,France,0
Citroen,C1,2005,2022,France,0
Citroen,C2,2003,2009,France,0
Citroen,C3,2002,2025,France,0
Citroen,"C3 Aircross",2017,2025,France,0
Citroen,"C3 Picasso",2009,2017,France,0
Citroen,"C3 Pluriel",2003,2010,France,0
Citroen,C4,2004,2025,France,0
Citroen,"C4 Aircross",2012,2017,France,0
Citroen,"C4 Cactus",2014,2025,France,0
Citroen,"C4 Picasso",2006,2021,France,0
Citroen,"C4 SpaceTourer",2018,2021,France,0
Citroen,"C4 X",2022,2025,France,0
Citroen,C5,2001,2025,France,0
Citroen,"C5 Aircross",2017,2025,France,0
Citroen,"C5 X",2021,2025,France,0
Citroen,C6,2004,2012,France,0
Citroen,C8,2002,2014,France,0
Citroen,"DS 7 Crossback",2018,2025,France,0
Citroen,"DS 9",2020,2025,France,0
Citroen,DS3,2009,2019,France,0
Citroen,DS4,2010,2018,France,0
Citroen,DS5,2011,2018,France,0
Citroen,"Grand C4 Picasso",2006,2021,France,0
Citroen,"Grand C4 SpaceTourer",2018,2022,France,0
Citroen,Jumper,2014,2025,France,0
Citroen,Jumpy,2007,2016,France,0
Citroen,Nemo,2008,2018,France,0
Citroen,Saxo,1996,2004,France,0
Citroen,Spacetourer,2016,2025,France,0
Citroen,Xsara,1997,2006,France,0
Citroen,"Xsara Picasso",1999,2012,France,0
Dacia,Dokker,2012,2021,Other,0
Dacia,Jogger,2021,2025,Other,0
Dacia,Lodgy,2012,2022,Other,0
Dacia,Solenza,2003,2005,Other,0
Dacia,Spring,2021,2025,Other,0
Dacia,SupeRNova,2000,2003,Other,0
Daewoo,Evanda,2002,2007,"South Korea",0
Daewoo,Kalos,2002,2007,"South Korea",0
Daewoo,Leganza,1997,2002,"South Korea",0
Daewoo,Magnus,2000,2006,"South Korea",0
Daewoo,Matiz,2000,2015,"South Korea",0
Daewoo,Nexia,1995,2016,"South Korea",0
Daewoo,Nubira,1997,2008,"South Korea",0
Daihatsu,Applause,1997,2000,Other,0
Daihatsu,Cast,2015,2023,Other,0
Daihatsu,Copen,2002,2025,Other,0
Daihatsu,Cuore,2003,2011,Other,0
Daihatsu,"Gran Move",1996,2002,Other,0
Daihatsu,Luxio,2009,2025,Other,0
Daihatsu,Materia,2006,2012,Other,0
Daihatsu,Mebius,2013,2021,Other,0
Daihatsu,Move,2014,2025,Other,0
Daihatsu,Rocky,2019,2025,Other,0
Daihatsu,Sirion,1998,2004,Other,0
Daihatsu,Terios,1997,2017,Other,0
Daihatsu,Trevis,2006,2011,Other,0
Daihatsu,YRV,2000,2005,Other,0
Datsun,mi-DO,2014,2021,Other,0
Datsun,on-DO,2014,2021,Other,0
Dodge,Avenger,1994,2025,USA,0
Dodge,Caliber,2006,2012,USA,0
Dodge,"Caliber SRT4",2007,2010,USA,0
Dodge,Caravan,1995,2016,USA,0
Dodge,Challenger,2008,2025,USA,0
Dodge,Charger,2006,2025,USA,0
Dodge,Dakota,2005,2011,USA,0
Dodge,Dart,2012,2017,USA,0
Dodge,Durango,1998,2025,USA,0
Dodge,Hornet,2023,2025,USA,0
Dodge,Intrepid,1998,2004,USA,0
Dodge,Journey,2008,2020,USA,0
Dodge,Magnum,2004,2008,USA,0
Dodge,Neon,2000,2020,USA,0
Dodge,Nitro,2007,2012,USA,0
Dodge,"Ram 1500",2001,2025,USA,0
