brand;model;year_from;year_to;description;is_popular;country
Fiat;Bravo;;;;1;Italy
Fiat;Coupe;;;;1;Italy
Fiat;Croma;;;;1;Italy
Fiat;Doblo;;;;1;Italy
Fiat;Ducato;;;;1;Italy
Fiat;E-Doblo;;;;1;Italy
Fiat;E-Ulysse;;;;1;Italy
Fiat;Egea;;;;1;Italy
Fiat;Freemont;;;;1;Italy
Fiat;"Grande Punto";;;;1;Italy
Fiat;Idea;;;;1;Italy
Fiat;Linea;;;;1;Italy
Fiat;Marea;;;;1;Italy
Fiat;Multipla;;;;1;Italy
Fiat;Palio;;;;1;Italy
Fiat;Panda;;;;1;Italy
Fiat;"Panda 4x4";;;;1;Italy
Fiat;"Panda Cross";;;;1;Italy
Fiat;Pulse;;;;1;Italy
Fiat;Punto;;;;1;Italy
Fiat;Qubo;;;;1;Italy
Fiat;Sedici;;;;1;Italy
Fiat;Siena;;;;1;Italy
Fiat;Stilo;;;;1;Italy
Fiat;Strada;;;;1;Italy
Fiat;Tipo;;;;1;Italy
Fiat;Ulysse;;;;1;Italy
Fisker;Karma;;;;1;Other
Ford;B-Max;;;;1;USA
Ford;Bronco;;;;1;USA
Ford;"Bronco Sport";;;;1;USA
Ford;C-Max;;;;1;USA
Ford;Cougar;;;;1;USA
Ford;"Crown Victoria";;;;1;USA
Ford;EcoSport;;;;1;USA
Ford;Edge;;;;1;USA
Ford;Endura;;;;1;USA
Ford;Equator;;;;1;USA
Ford;Escape;;;;1;USA
Ford;Excursion;;;;1;USA
Ford;Expedition;;;;1;USA
Ford;Explorer;;;;1;USA
Ford;"Explorer Sport Trac";;;;1;USA
Ford;F-150;;;;1;USA
Ford;"F-150 Lightning";;;;1;USA
Ford;F-250;;;;1;USA
Ford;F-350;;;;1;USA
Ford;Falcon;;;;1;USA
Ford;Fiesta;;;;1;USA
Ford;"Fiesta Active";;;;1;USA
Ford;"Five Hundred";;;;1;USA
Ford;Flex;;;;1;USA
Ford;Focus;;;;1;USA
Ford;"Focus Active";;;;1;USA
Ford;"Focus Electric";;;;1;USA
Ford;Freestar;;;;1;USA
Ford;Freestyle;;;;1;USA
Ford;Fusion;;;;1;USA
Ford;Galaxy;;;;1;USA
Ford;Ka;;;;1;USA
Ford;Kuga;;;;1;USA
Ford;Maverick;;;;1;USA
Ford;Mondeo;;;;1;USA
Ford;Mustang;;;;1;USA
Ford;"Mustang Mach-E";;;;1;USA
Ford;"Mustang Shelby GT350";;;;1;USA
Ford;"Mustang Shelby GT500";;;;1;USA
Ford;Puma;;;;1;USA
Ford;Ranger;;;;1;USA
Ford;S-Max;;;;1;USA
Ford;Taurus;;;;1;USA
Ford;"Taurus X";;;;1;USA
Ford;Thunderbird;;;;1;USA
Ford;"Tourneo Connect";;;;1;USA
Ford;Transit;;;;1;USA
Ford;"Transit Connect";;;;1;USA
Foton;Sauvana;;;;1;China
Foton;"Tunland G7";;;;1;China
GAC;GM8;;;;1;China
GAC;GN8;;;;1;China
GAC;GS5;;;;1;China
GAC;GS8;;;;1;China
GAZ;3102;;;;1;Russia
GAZ;31105;;;;1;Russia
GAZ;Gazelle;;;;1;Russia
GAZ;"Gazelle Business";;;;1;Russia
GAZ;"Gazelle Next";;;;1;Russia
GAZ;"Gazelle NN";;;;1;Russia
GAZ;"Gazelle Sity";;;;1;Russia
GAZ;Siber;;;;1;Russia
GAZ;Sobol;;;;1;Russia
GAZ;"Sobol NN";;;;1;Russia
Geely;Atlas;;;;1;China
Geely;"Atlas Pro";;;;1;China
Geely;Azkarra;;;;1;China
Geely;"Belgee X50";;;;1;China
Geely;Coolray;;;;1;China
Geely;Emgrand;;;;1;China
Geely;"Emgrand 7";;;;1;China
